AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2024,5,100605,HUÁNUCO,LEONCIO PRADO,LUYANDO,F,12-17 AÑOS,PERÚ,1
2021,4,150111,LIMA METROPOLITANA,LIMA,EL AGUSTINO,F,18-29 AÑOS,PERÚ,4
2025,1,131201,LA LIBERTAD,VIRU,VIRU,F,12-17 AÑOS,PERÚ,1
2023,3,120604,JUNÍN,SATIPO,MAZAMARI,M,60 A MAS AÑOS,PERÚ,1
2021,3,150509,REGIÓN LIMA,CAÑETE,MALA,M,12-17 AÑOS,PERÚ,1
2025,7,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,F,12-17 AÑOS,PERÚ,1
2020,10,30216,APURIMAC,ANDAHUAYLAS,TALAVERA,F,12-17 AÑOS,PERÚ,2
2021,12,70101,CALLAO,CALLAO,CALLAO,M,,PERÚ,1
2022,3,50104,AYACUCHO,HUAMANGA,CARMEN ALTO,F,18-29 AÑOS,PERÚ,1
2025,4,100601,HUÁNUCO,LEONCIO PRADO,RUPA-RUPA,M,18-29 AÑOS,PERÚ,2
2022,3,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,F,60 A MAS AÑOS,PERÚ,1
2021,3,30104,APURIMAC,ABANCAY,CURAHUASI,M,18-29 AÑOS,PERÚ,1
2019,9,150201,REGIÓN LIMA,BARRANCA,BARRANCA,F,18-29 AÑOS,PERÚ,1
2022,3,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,12-17 AÑOS,PERÚ,1
2020,3,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,M,6-11 AÑOS,PERÚ,2
2023,12,80601,CUSCO,CANCHIS,SICUANI,F,60 A MAS AÑOS,PERÚ,1
2020,8,250101,UCAYALI,CORONEL PORTILLO,CALLERIA,F,12-17 AÑOS,PERÚ,3
2025,6,140118,LAMBAYEQUE,CHICLAYO,POMALCA,F,12-17 AÑOS,PERÚ,1
